loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120000058-06304,Paid as agreed,7,2007-04-15 Sun,26,None,National,"1,625.00",SI,g,Renting,230,1,0,757,1,,,0,80,56,4,2,81.2,18.8,Used,28.341,1
AL120000096-08542,Charged-off,3,2007-01-01 Mon,23,None,Unknown,"2,050.00",SI,g,Parents,194,0,1,609,6,,3,0,63,28,2,0,85.5,14.5,Used,16.11,0
AL120000112-08887,Charged-off,3,2006-07-14 Fri,38,Chk & Sv,National,"1,500.00",SI,b,Renting,188,0,0,586,4,,,0,100,17,1,47,81.9,18.1,Used,4.702,0
AL120000199-08633,Charged-off,3,2006-10-25 Wed,30,Checking,Home Equity,"1,600.00",SI,k,Renting,188,0,0,609,5,2,7,0,50,84,7,77,88.9,11.1,Used,2.257,0
AL120000303-06480,Paid as agreed,7,2007-02-28 Wed,37,Chk & Sv,National,"2,060.00",M,b,Renting,193,2,0,612,7,32,,0,100,23,1,,65,35,Used,48.77,1
AL120000373-07008,Delq 3+ cycles,4,2007-03-10 Sat,47,Chk & Sv,Unsecured,"3,416.00",DI,b,Owns Home,211,12,0,682,3,,81,0,63,134,11,,100,0,New,0.996,0
AL120000405-05883,Paid as agreed,7,2007-04-18 Wed,25,Chk & Sv,National,"10,100.00",SI,r,Owns Home,234,0,0,750,1,8,,0,100,76,6,25,81.2,18.8,Used,28.341,1
AL120000542-07231,Delq 3+ cycles,4,2007-03-24 Sat,22,Checking,Home Equity,"1,640.00",M,r,Renting,194,0,0,639,13,,,0,100,14,1,,86.8,13.2,New,1.007,0
AL120000692-05306,Paid as agreed,7,2007-03-09 Fri,40,Checking,Home Equity,"1,595.00",M,f,Parents,187,2,0,592,4,,3,0,93,50,4,81,85,15,New,28.341,1
AL120000713-05359,Paid as agreed,7,2006-08-14 Mon,42,Chk & Sv,National,"5,916.00",M,f,Owns Home,215,19,0,718,1,,,0,100,184,15,39,63.6,36.4,New,28.341,1
AL120000753-06405,Paid as agreed,7,2007-03-19 Mon,42,Checking,National,"1,600.00",SP,b,Owns Home,212,3,0,685,5,11,26,0,85,74,6,14,89,11,Used,50.045,1
AL120000952-07272,Charged-off,3,2006-12-22 Fri,28,Chk & Sv,National,"1,550.00",M,g,Owns Home,174,1,1,572,2,33,1,0,40,88,7,,36.9,63.1,New,1.18,0
AL120000959-04429,Paid as agreed,7,2006-09-06 Wed,26,Checking,National,"1,958.00",M,g,Parents,181,11,3,596,7,,1,0,33,76,6,85,85.5,14.5,New,44.908,1
AL120001090-07166,Delq 3+ cycles,4,2006-08-19 Sat,23,Checking,National,"1,000.00",WD,w,Parents,184,20,0,595,1,,,1,80,32,2,92,87.5,12.5,New,6.082,0
AL120001209-05071,Paid as agreed,7,2006-09-07 Thu,27,Chk & Sv,Retail,"2,600.00",LT,w,Renting,206,5,2,637,8,,7,0,13,95,7,0,80.2,19.8,New,47.077,1
AL120001251-08823,Delq 3+ cycles,4,2006-10-05 Thu,49,Checking,National,"2,400.00",M,p,Owns Home,210,10,0,666,8,19,,0,100,46,3,80,89.5,10.5,Used,1.007,0
AL120001262-05447,Paid as agreed,7,2007-06-21 Thu,,None,Unknown,"2,800.00",M,y,Owns Home,193,0,2,,0,2,29,,33,72,6,,82.8,17.2,New,49.176,1
AL120001376-06520,Charged-off,3,2007-01-28 Sun,33,Checking,National,"1,800.00",SP,u,Renting,205,0,0,671,7,1,,0,100,33,2,40,47.4,52.6,New,0.277,0
AL120001538-04437,Paid as agreed,7,2007-01-09 Tue,64,Chk & Sv,National,"2,500.00",M,g,Owns Home,175,19,0,612,7,,13,0,83,262,21,79,94.2,5.8,New,48.666,1
AL120001589-06314,Paid as agreed,7,2007-03-11 Sun,29,Savings,National,"1,217.00",M,p,Parents,213,10,0,694,3,,70,0,80,126,10,41,95.6,4.4,Used,28.341,1
AL120001605-05248,Paid as agreed,7,2006-10-27 Fri,24,Checking,National,"2,992.00",M,g,Renting,190,0,0,635,5,37,,0,100,35,2,112,88.3,11.7,New,46.51,1
AL120001623-06580,Delq 3+ cycles,4,2006-09-22 Fri,49,Chk & Sv,Unsecured,"1,180.00",LT,p,Owns Home,225,25,0,706,1,,81,0,95,138,11,33,91.3,8.7,New,1.007,0
AL120001628-08979,Delq 3+ cycles,4,2006-07-27 Thu,24,Chk & Sv,National,"2,000.00",DI,g,Owns Home,195,0,0,618,4,3,,0,100,12,1,91,88.5,11.5,Used,8.803,0
AL120001819-04289,Paid as agreed,7,2006-09-26 Tue,28,Chk & Sv,National,"2,054.00",M,p,Owns Home,179,3,0,554,2,,2,1,67,50,4,83,97.2,2.8,New,28.341,1
AL120001840-06419,Paid as agreed,7,2007-06-28 Thu,49,Chk & Sv,Home Equity,"2,500.00",SP,y,Owns Home,166,5,1,537,3,,2,0,64,107,8,76,57,43,Used,49.506,1
AL120001868-06080,Paid as agreed,7,2006-09-26 Tue,27,Chk & Sv,Retail,820,SI,w,Parents,191,5,0,641,5,57,,0,50,29,2,,90.9,9.1,Used,45.412,1
AL120001885-06605,Charged-off,3,2006-08-02 Wed,50,Checking,Unsecured,"2,900.00",M,u,Owns Home,185,0,0,627,3,,,0,60,85,7,,88,12,New,1.007,0
AL120002042-07930,Charged-off,3,2007-01-19 Fri,23,Checking,Unsecured,"2,180.00",M,g,Renting,201,1,0,634,3,,,0,0,26,2,,86.5,13.5,New,10.262,0
AL120002123-04134,Paid as agreed,7,2006-09-05 Tue,25,Chk & Sv,National,"1,593.00",M,r,Renting,204,1,0,697,14,4,,0,100,50,4,31,82.7,17.3,New,49.33,1
AL120002153-05051,Paid as agreed,7,2007-05-17 Thu,20,Savings,National,850,M,y,Sublease,159,0,1,485,26,30,1,0,20,24,2,89,89.6,10.4,New,19.519,1
AL120002181-07634,Charged-off,3,2006-08-21 Mon,21,Chk & Sv,National,"2,500.00",M,g,Sublease,186,0,0,627,14,,,0,100,16,1,67,89,11,New,15.926,0
AL120002269-06148,Paid as agreed,7,2006-12-25 Mon,53,Checking,National,"1,520.00",SI,b,Owns Home,184,20,1,603,7,3,2,0,33,269,22,10,85.5,14.5,Used,48.451,1
AL120002326-04186,Paid as agreed,7,2007-04-20 Fri,37,Chk & Sv,National,"2,600.00",M,r,Owns Home,207,1,1,649,3,9,4,0,86,207,17,37,92.9,7.1,New,28.341,1
AL120002395-06645,Delq 3+ cycles,4,2007-03-16 Fri,30,Chk & Sv,National,"4,500.00",M,w,Owns Home,198,10,0,662,4,1,33,0,88,132,11,98,88.9,11.1,New,1.007,0
AL120002543-04217,Paid as agreed,7,2006-07-08 Sat,29,Chk & Sv,Unknown,"1,410.00",M,f,Owns Home,181,2,0,604,2,,1,0,63,77,6,77,97.3,2.7,New,47.523,1
AL120002655-07668,Charged-off,3,2007-01-24 Wed,22,Checking,National,"1,500.00",M,w,Parents,204,3,0,650,3,,7,0,67,43,3,0,89.9,10.1,New,2.312,0
AL120002675-05674,Paid as agreed,7,2006-12-04 Mon,21,Savings,Unsecured,"1,000.00",M,y,Parents,197,3,0,638,4,,,0,100,8,0,111,98.4,1.6,Used,39.391,1
AL120002742-04615,Paid as agreed,7,2006-07-08 Sat,40,Chk & Sv,National,875,M,y,Owns Home,186,2,0,594,7,,,0,100,28,2,76,84.2,15.8,New,28.341,1
AL120002765-05768,Paid as agreed,7,2007-01-20 Sat,48,Checking,Unsecured,"3,167.00",SI,y,Owns Home,201,16,0,639,1,3,11,0,88,87,7,,80.8,19.2,Used,28.341,1
AL120002788-08856,Delq 3+ cycles,4,2006-08-14 Mon,19,Savings,National,"2,000.00",LT,w,Parents,197,2,0,,7,,,0,,2,0,,61.7,38.3,Used,8.183,0
AL120002955-05479,Paid as agreed,7,2007-01-02 Tue,29,Chk & Sv,National,"1,382.00",LT,g,Renting,172,3,0,,0,,,,,1,0,,70.4,29.6,New,49.335,1
AL120002992-07721,Charged-off,3,2006-09-15 Fri,52,Chk & Sv,National,"2,900.00",M,r,Owns Home,173,9,5,556,4,3,3,0,67,233,19,61,92.7,7.3,New,1.007,0
AL120003202-06083,Paid as agreed,7,2006-09-05 Tue,32,Chk & Sv,Retail,"2,292.00",SI,y,Owns Home,202,12,1,600,2,81,4,0,50,108,9,100,79.6,20.4,Used,28.341,1
AL120003257-04570,Paid as agreed,7,2007-05-14 Mon,49,Checking,National,"1,690.00",M,b,Renting,191,0,1,586,2,3,8,0,40,60,5,23,88.1,11.9,New,28.341,1
AL120003325-06620,Charged-off,3,2007-01-22 Mon,22,Chk & Sv,Unsecured,"2,040.00",M,g,Owns Home,181,22,0,590,4,,,0,100,30,2,97,83.2,16.8,New,1.007,0
AL120003456-06562,Delq 3+ cycles,4,2007-01-15 Mon,63,None,Unknown,"1,650.00",M,g,Owns Home,211,22,0,689,8,,52,0,60,263,21,,94.6,5.4,New,1.007,0
AL120003459-04937,Paid as agreed,7,2006-09-15 Fri,26,Chk & Sv,Home Equity,"3,760.00",M,w,Owns Home,192,1,0,619,2,,4,0,70,42,3,49,95.9,4.1,New,28.341,1
AL120003473-06790,Delq 3+ cycles,4,2006-07-10 Mon,31,Checking,National,"2,200.00",M,g,Owns Home,181,1,2,588,4,,6,0,67,95,7,,86.8,13.2,New,1.007,0
AL120003486-04582,Paid as agreed,7,2006-10-12 Thu,43,Chk & Sv,Home Equity,"5,500.00",M,w,Owns Home,213,13,0,727,2,4,,3,100,120,10,,100,0,New,28.341,1
AL120003685-08708,Delq 3+ cycles,4,2006-07-16 Sun,27,Chk & Sv,National,"1,300.00",SI,g,Sublease,200,24,0,,20,4,,0,,11,0,,80.9,19.1,Used,1.007,0
AL120003846-08653,Charged-off,3,2006-08-06 Sun,25,Chk & Sv,National,"1,802.00",SI,p,Sublease,224,1,0,739,4,19,,0,100,144,12,0,66.6,33.4,Used,1.007,0
AL120003950-04207,Paid as agreed,7,2007-03-03 Sat,69,Chk & Sv,Unknown,"2,118.00",M,f,Owns Home,230,5,0,788,0,2,,,100,320,26,48,100,0,New,28.341,1
AL120004162-05657,Paid as agreed,7,2007-01-12 Fri,69,Checking,National,"1,700.00",M,b,Unknown,242,20,0,777,4,2,,0,96,391,32,19,73.7,26.3,Used,28.341,1
AL120004725-08216,Delq 3+ cycles,4,2007-02-17 Sat,26,None,Unknown,850,DI,s,Renting,201,0,0,,2,30,,0,,2,0,,63.3,36.7,Used,1.007,0
AL120004902-08458,Delq 3+ cycles,4,2006-09-13 Wed,31,None,National,"1,100.00",DI,b,Renting,193,1,2,617,5,,3,0,50,100,8,0,87.4,12.6,Used,8.566,0
AL120005123-04177,Paid as agreed,7,2006-10-20 Fri,25,Savings,Unsecured,"1,352.00",M,p,Unknown,167,1,0,534,13,,1,0,81,44,3,95,94.8,5.2,New,32.864,1
AL120005376-04481,Paid as agreed,7,2007-03-08 Thu,29,Checking,Home Equity,"2,750.00",M,h,Owns Home,227,11,0,761,4,3,,0,100,145,12,0,76.4,23.6,New,28.341,1
AL120005445-04159,Paid as agreed,7,2007-06-07 Thu,31,Chk & Sv,Unsecured,"6,666.00",M,r,Owns Home,192,2,0,653,5,,,0,100,104,8,69,64,36,New,28.341,1
AL120005477-04637,Paid as agreed,7,2007-02-08 Thu,51,Savings,National,"2,812.00",M,k,Owns Home,220,16,0,716,4,,,0,100,190,15,2,88.5,11.5,New,28.341,1
AL120005560-06492,Paid as agreed,7,2006-11-11 Sat,18,Checking,National,"1,100.00",SI,w,Parents,176,12,0,583,0,,2,,0,11,0,93,85.9,14.1,Used,41.16,1
AL120005974-07736,Charged-off,3,2006-12-07 Thu,41,Checking,Unknown,"1,600.00",M,g,Renting,176,4,2,550,1,6,4,0,0,92,7,,89.3,10.7,New,8.177,0
AL120006036-08600,Delq 3+ cycles,4,2006-08-26 Sat,23,Chk & Sv,Home Equity,"1,400.00",SI,g,Parents,235,10,0,744,2,69,,0,100,55,4,0,86.2,13.8,Used,0.543,0
AL120006110-06415,Paid as agreed,7,2006-12-06 Wed,45,Checking,Unknown,"1,500.00",SP,p,Renting,228,0,0,716,3,15,,0,100,162,13,66,81.3,18.7,Used,49.738,1
AL120006226-08160,Delq 3+ cycles,4,2007-05-26 Sat,34,None,National,"1,200.00",LT,y,Renting,202,8,0,638,18,2,,0,100,32,2,100,78.1,21.9,Used,12.359,0
AL120006236-07097,Delq 3+ cycles,4,2007-05-08 Tue,36,Chk & Sv,National,"1,785.00",M,u,Owns Home,209,9,2,669,1,,22,1,17,129,10,38,82.9,17.1,New,0.567,0
AL120006245-07856,Charged-off,3,2007-02-05 Mon,19,Savings,Unsecured,864,M,b,Sublease,206,0,0,671,5,,,0,100,77,6,79,99.1,0.9,New,5.484,0
AL120006303-08145,Delq 3+ cycles,4,2007-04-08 Sun,22,Chk & Sv,National,800,DI,,Parents,171,22,1,548,7,1,1,0,67,29,2,,89.9,10.1,Used,1.007,0
AL120006312-05854,Paid as agreed,7,2007-05-15 Tue,33,Checking,Unsecured,"3,500.00",SI,y,Owns Home,206,11,0,671,3,4,50,1,91,131,10,54,71.8,28.2,Used,28.341,1
AL120006314-06358,Paid as agreed,7,2006-10-15 Sun,65,Chk & Sv,Retail,"1,432.00",DI,s,Unknown,214,0,0,723,2,9,,1,100,82,6,6,75.5,24.5,Used,28.341,1
AL120006364-06352,Paid as agreed,7,2007-02-14 Wed,75,Checking,National,"1,342.00",DI,g,Owns Home,210,30,0,715,2,,,0,100,158,13,45,80.9,19.1,Used,49.029,1
AL120006391-04497,Paid as agreed,7,2007-03-19 Mon,37,Chk & Sv,National,"5,800.00",SI,y,Owns Home,233,13,0,759,4,,,1,100,157,13,5,61.3,38.7,New,28.341,1
AL120006448-06226,Paid as agreed,7,2006-11-26 Sun,37,Chk & Sv,Unknown,"1,000.00",M,f,Parents,192,37,0,,5,,,0,,21,1,,83.8,16.2,Used,45.727,1
AL120006493-06287,Paid as agreed,7,2007-01-04 Thu,65,Checking,Unsecured,"1,111.00",LT,f,Owns Home,193,28,4,577,10,20,2,1,83,120,10,80,92.6,7.4,Used,23.171,1
AL120006657-04030,Paid as agreed,7,2007-02-13 Tue,36,Chk & Sv,National,"1,150.00",M,b,Parents,195,2,0,629,13,,,0,100,19,1,76,80.9,19.1,New,49.202,1
AL120006668-04665,Paid as agreed,7,2007-06-13 Wed,25,Chk & Sv,National,"3,360.00",M,f,Owns Home,214,4,0,693,3,,,0,100,57,4,79,84.2,15.8,New,28.341,1
AL120006687-07848,Charged-off,3,2006-09-02 Sat,55,Checking,Home Equity,"3,200.00",M,y,Renting,199,0,0,658,1,,9,0,93,183,15,57,90.5,9.5,New,0.251,0
AL120006802-08045,Delq 3+ cycles,4,2006-11-28 Tue,32,Checking,National,"1,868.00",LT,p,Owns Home,190,18,0,627,3,,10,0,57,134,11,0,86.2,13.8,Used,1.007,0
AL120006872-05484,Paid as agreed,7,2006-11-06 Mon,22,Chk & Sv,National,"2,190.00",M,y,Renting,201,0,0,627,4,7,12,0,86,29,2,41,87.5,12.5,New,49.659,1
AL120006919-06576,Charged-off,3,2007-06-26 Tue,32,Chk & Sv,National,"1,700.00",M,g,Parents,187,3,0,620,10,,,0,100,52,4,95,96.1,3.9,New,11.913,0
AL120007201-05260,Paid as agreed,7,2006-10-12 Thu,30,Chk & Sv,Unsecured,900,M,o,Renting,180,4,2,563,4,34,2,0,0,91,7,100,73.5,26.5,New,43.989,1
AL120007272-08819,Delq 3+ cycles,4,2007-05-16 Wed,39,Chk & Sv,Unsecured,"2,492.00",SI,,Owns Home,186,14,0,586,5,,1,0,71,140,11,77,93.1,6.9,Used,1.007,0
AL120007297-04130,Paid as agreed,7,2006-12-13 Wed,66,Chk & Sv,Unsecured,"1,300.00",M,e,Owns Home,228,4,0,757,0,,,,67,48,4,34,34.4,65.6,New,28.341,1
AL120007345-07157,Delq 3+ cycles,4,2006-12-06 Wed,42,Chk & Sv,Unsecured,"4,250.00",M,k,Owns Home,189,14,1,600,4,20,2,0,50,154,12,,84.6,15.4,New,11.305,0
AL120007570-08384,Delq 3+ cycles,4,2006-11-26 Sun,33,None,National,"1,120.00",SI,w,Parents,185,32,1,587,4,26,3,2,40,80,6,,100,0,Used,1.007,0
AL120007582-04975,Paid as agreed,7,2006-11-21 Tue,26,Checking,National,"2,083.00",M,w,Parents,232,20,0,764,2,6,,0,100,51,4,0,61.4,38.6,New,50.019,1
AL120007652-04231,Paid as agreed,7,2006-12-28 Thu,42,Checking,National,"3,167.00",M,p,Owns Home,220,11,0,711,4,6,,0,100,224,18,28,70.9,29.1,New,28.341,1
AL120007658-06322,Paid as agreed,7,2006-10-02 Mon,53,Chk & Sv,National,"2,500.00",DI,y,Owns Home,217,3,0,725,1,25,,0,100,69,5,,64,36,Used,28.341,1
AL120007743-07453,Delq 3+ cycles,4,2006-07-18 Tue,23,Checking,Home Equity,"1,217.00",M,u,Parents,197,23,0,655,2,,,0,100,21,1,,90.9,9.1,New,1.007,0
AL120007830-05242,Paid as agreed,7,2007-03-17 Sat,23,Chk & Sv,National,"3,294.00",M,w,Owns Home,191,0,0,633,14,,20,0,100,29,2,43,82.9,17.1,New,43.496,1
AL120007830-07497,Delq 3+ cycles,4,2007-02-06 Tue,23,Chk & Sv,National,"1,400.00",DI,y,Owns Home,180,0,1,569,3,5,6,1,64,40,3,55,63.8,36.2,New,1.43,0
AL120007984-06711,Delq 3+ cycles,4,2006-10-27 Fri,25,Savings,Unsecured,"1,352.00",M,p,Unknown,159,1,0,534,13,,1,0,81,44,3,95,94.8,5.2,New,23.555,0
AL120007998-05725,Paid as agreed,7,2007-06-03 Sun,30,Chk & Sv,National,"5,500.00",SI,e,Owns Home,203,2,2,631,3,,5,0,73,101,8,,87.2,12.8,Used,28.341,1
AL120008124-06720,Charged-off,3,2006-10-14 Sat,40,None,National,"1,200.00",M,k,Renting,200,15,0,641,3,7,17,0,86,48,4,,90.5,9.5,New,1.007,0
AL120008168-04412,Paid as agreed,7,2006-09-11 Mon,41,Checking,Retail,"3,000.00",WD,b,Owns Home,205,9,1,647,8,,12,0,70,127,10,77,73.3,26.7,New,28.341,1
AL120008189-05300,Paid as agreed,7,2006-10-15 Sun,22,Checking,National,"1,100.00",M,o,Parents,205,12,0,687,1,5,,0,100,28,2,85,65.1,34.9,New,28.341,1
AL120008202-08608,Charged-off,3,2006-08-14 Mon,34,Chk & Sv,National,"1,800.00",DI,k,Parents,208,8,0,667,4,1,,0,100,61,5,60,84.6,15.4,Used,0.912,0
AL120008277-04683,Paid as agreed,7,2007-05-13 Sun,38,Chk & Sv,National,"5,200.00",M,f,Owns Home,243,2,0,772,1,,,0,100,253,21,17,86.4,13.6,New,28.341,1
AL120008386-07866,Delq 3+ cycles,4,2007-04-01 Sun,28,Chk & Sv,National,"1,042.00",M,o,Owns Home,197,1,0,657,2,18,16,0,96,120,10,49,86.5,13.5,New,0.229,0
AL120008427-06579,Delq 3+ cycles,4,2006-09-27 Wed,24,Chk & Sv,Unsecured,"13,850.00",M,,Owns Home,194,24,0,636,4,51,,0,91,57,4,99,65.5,34.5,New,1.18,0
AL120008495-08095,Delq 3+ cycles,4,2007-04-24 Tue,50,Chk & Sv,Unsecured,"3,300.00",M,f,Owns Home,178,20,2,536,2,,0,0,80,89,7,40,84.6,15.4,Used,1.007,0
AL120008513-04640,Paid as agreed,7,2006-08-27 Sun,,Chk & Sv,Home Equity,"2,200.00",M,y,Owns Home,212,28,0,675,2,,,0,100,68,5,47,92.3,7.7,New,28.341,1
AL120008711-07136,Delq 3+ cycles,4,2007-05-09 Wed,23,Chk & Sv,National,"1,752.00",M,o,Parents,209,3,0,,21,,,0,100,3,0,100,93.4,6.6,New,1.007,0
AL120008712-07545,Delq 3+ cycles,4,2006-11-05 Sun,21,Checking,Unsecured,"1,263.00",WD,f,Parents,192,10,0,628,14,4,8,0,50,28,2,0,86,14,New,16.21,0
AL120008858-07925,Delq 3+ cycles,4,2007-02-17 Sat,35,Checking,Home Equity,"1,333.00",LT,g,Renting,213,1,0,684,8,,,0,100,127,10,37,91,9,New,2.566,0
AL120009009-05441,Paid as agreed,7,2006-08-19 Sat,21,Checking,Home Equity,"1,600.00",M,b,Parents,219,10,0,733,3,,,0,100,222,18,87,88.1,11.9,New,47.66,1
AL120009012-04083,Paid as agreed,7,2007-01-05 Fri,58,Chk & Sv,Unknown,"11,667.00",M,p,Owns Home,199,10,1,652,2,17,2,4,80,130,10,1,66.1,33.9,New,28.341,1
AL120009012-07221,Charged-off,3,2006-10-21 Sat,45,Checking,National,"3,666.00",M,f,Renting,183,2,4,571,13,1,2,0,20,96,8,,85.3,14.7,New,9.243,0
AL120009017-05512,Paid as agreed,7,2006-09-02 Sat,22,Checking,National,866,DI,f,Unknown,181,1,1,588,1,20,9,2,50,30,2,,85.9,14.1,New,46.206,1
AL120009059-07330,Delq 3+ cycles,4,2006-07-20 Thu,25,Chk & Sv,Unsecured,"2,150.00",M,w,Renting,203,3,0,658,6,12,,0,100,51,4,90,91.6,8.4,New,1.007,0
AL120009214-08754,Delq 3+ cycles,4,2007-04-03 Tue,19,Chk & Sv,National,"1,008.00",LT,y,Parents,197,19,0,629,4,,,0,100,10,0,,93.2,6.8,Used,1.007,0
AL120009222-07364,Charged-off,3,2007-05-03 Thu,31,Chk & Sv,National,"2,600.00",M,s,Renting,155,0,4,470,9,37,2,0,53,96,8,84,90.8,9.2,New,26.612,0
AL120009295-05637,Paid as agreed,7,2006-09-10 Sun,42,Checking,Unsecured,"1,700.00",SI,f,Unknown,214,19,1,660,6,0,35,0,57,181,15,26,89.7,10.3,Used,47.49,1
AL120009699-05927,Paid as agreed,7,2007-05-05 Sat,49,Chk & Sv,National,"1,800.00",SI,w,Owns Home,183,15,6,592,3,1,6,4,62,99,8,43,81.4,18.6,Used,28.341,1
AL120009856-06428,Paid as agreed,7,2006-09-23 Sat,42,Checking,National,"1,148.00",SI,f,Owns Home,219,1,0,704,1,,,0,67,69,5,50,77.4,22.6,Used,50.054,1
AL120010095-07398,Delq 3+ cycles,4,2006-07-07 Fri,42,Chk & Sv,Unsecured,"1,500.00",M,b,Owns Home,190,25,0,616,2,,,0,71,79,6,,85.1,14.9,New,3.964,0
AL120010128-04043,Paid as agreed,7,2007-06-02 Sat,49,Chk & Sv,Unknown,"1,600.00",SP,y,Renting,182,4,0,,1,9,,0,,51,4,,91.3,8.7,New,49.103,1
AL120010176-07078,Delq 3+ cycles,4,2006-08-22 Tue,,Checking,National,"1,600.00",M,f,Renting,160,0,0,536,8,,1,0,73,69,5,52,96,4,New,19.743,0
AL120010225-05382,Paid as agreed,7,2006-11-02 Thu,66,Checking,Unsecured,800,M,b,Owns Home,200,10,1,641,9,2,3,0,86,90,7,,80.5,19.5,New,49.159,1
AL120010307-05397,Paid as agreed,7,2006-09-27 Wed,59,Chk & Sv,Home Equity,"1,136.00",M,g,Owns Home,197,18,1,671,5,22,40,0,67,123,10,33,86,14,New,49.365,1
AL120010314-05383,Paid as agreed,7,2006-10-24 Tue,55,Chk & Sv,National,"2,100.00",M,f,Owns Home,201,33,0,630,14,,7,0,90,98,8,64,90.7,9.3,New,28.341,1
AL120010391-05997,Paid as agreed,7,2007-01-25 Thu,35,Checking,National,"1,400.00",DI,f,Owns Home,204,2,1,661,8,2,48,0,80,123,10,70,94,6,Used,45.112,1
AL120010540-07869,Delq 3+ cycles,4,2006-12-07 Thu,35,Checking,National,"1,560.00",LT,g,Renting,181,1,6,565,4,,2,0,30,91,7,36,118.7,-18.7,New,4.312,0
AL120010588-08852,Delq 3+ cycles,4,2007-01-26 Fri,31,Chk & Sv,National,"3,750.00",SI,w,Owns Home,204,0,0,701,8,,,0,100,101,8,25,75.7,24.3,Used,0.901,0
AL120010756-04315,Paid as agreed,7,2006-10-26 Thu,41,Checking,Unsecured,"2,417.00",M,f,Renting,223,40,0,730,1,2,,0,100,123,10,,83.7,16.3,New,28.341,1
AL120010793-07343,Delq 3+ cycles,4,2006-08-07 Mon,53,Savings,Unsecured,"1,404.00",M,,Renting,185,5,0,,8,,,0,,12,1,,92.8,7.2,New,14.83,0
AL120010816-05986,Paid as agreed,7,2006-10-13 Fri,24,Chk & Sv,National,0,SI,f,Renting,172,1,2,511,1,1,2,0,0,65,5,83,65.7,34.3,Used,44.541,1
AL120010928-08057,Delq 3+ cycles,4,2007-06-10 Sun,25,Savings,National,"1,150.00",SI,u,Renting,176,5,0,604,4,1,2,0,64,50,4,79,87.1,12.9,Used,1.007,0
AL120010990-07111,Charged-off,3,2007-06-23 Sat,27,Chk & Sv,National,"2,400.00",M,b,Owns Home,208,1,0,660,3,,,0,100,90,7,,84.5,15.5,New,1.044,0
AL120011157-08067,Delq 3+ cycles,4,2006-10-04 Wed,26,Checking,Unknown,"1,700.00",SP,k,Renting,184,0,1,559,15,2,3,1,50,63,5,57,83.3,16.7,Used,1.007,0
AL120011775-05536,Paid as agreed,7,2006-07-18 Tue,33,None,Retail,"2,726.00",M,g,Renting,175,7,5,518,13,35,0,0,69,61,5,94,81.6,18.4,New,18.646,1
AL120012072-05946,Paid as agreed,7,2006-07-06 Thu,29,Chk & Sv,National,"5,570.00",M,r,Renting,200,5,0,670,1,,11,0,86,100,8,44,80.1,19.9,Used,28.341,1
AL120012193-08786,Delq 3+ cycles,4,2006-12-19 Tue,57,Chk & Sv,Unsecured,"1,000.00",SI,f,Owns Home,201,20,1,640,4,4,22,0,75,103,8,,88,12,Used,5.966,0
AL120012455-07217,Charged-off,3,2007-03-14 Wed,23,Checking,Unsecured,"1,220.00",M,f,Sublease,198,1,0,600,6,,,0,100,32,2,85,87.2,12.8,New,1.007,0
AL120012603-06391,Paid as agreed,7,2006-09-25 Mon,,Chk & Sv,National,"2,500.00",SP,f,Renting,198,3,0,660,10,74,,0,100,22,1,,48.4,51.6,Used,47.319,1
AL120012606-04729,Paid as agreed,7,2007-04-21 Sat,28,Chk & Sv,National,"4,000.00",M,y,Owns Home,229,4,0,745,3,8,,0,100,120,10,9,80.9,19.1,New,28.341,1
AL120012754-07983,Delq 3+ cycles,4,2007-03-08 Thu,36,None,Unsecured,900,M,,Renting,187,4,2,,2,24,23,0,40,54,4,,72,28,Used,1.007,0
AL120012898-04270,Paid as agreed,7,2006-12-05 Tue,24,Chk & Sv,Home Equity,"4,333.00",M,w,Parents,214,1,0,694,4,4,,0,100,32,2,44,90.4,9.6,New,28.341,1
AL120013060-07023,Charged-off,3,2006-10-05 Thu,,Chk & Sv,Unsecured,"2,333.00",M,,Renting,190,5,0,618,4,15,,0,88,70,5,63,83.5,16.5,New,1.007,0
AL120013102-04433,Paid as agreed,7,2006-10-20 Fri,48,Checking,National,"2,175.00",LT,r,Owns Home,220,1,0,737,2,,,2,82,96,8,71,76.7,23.3,New,28.341,1
AL120013268-07568,Charged-off,3,2006-11-13 Mon,25,Chk & Sv,National,"2,660.00",M,y,Owns Home,207,0,0,640,19,1,,0,91,62,5,44,96.5,3.5,New,1.007,0
AL120013413-07809,Delq 3+ cycles,4,2007-03-01 Thu,40,Chk & Sv,National,"2,400.00",M,g,Parents,167,37,10,518,8,,2,0,29,120,10,30,100,0,New,16.06,0
AL120013471-04685,Paid as agreed,7,2006-09-27 Wed,54,Chk & Sv,Home Equity,"3,333.00",SP,b,Renting,214,24,0,722,1,2,,0,94,298,24,45,93.6,6.4,New,28.341,1
AL120013567-05059,Paid as agreed,7,2007-03-19 Mon,21,Checking,Home Equity,"1,400.00",M,y,Parents,198,21,0,621,4,1,,0,100,33,2,100,94.6,5.4,New,47.453,1
