loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120263909-06625,Charged-off,3,2006-11-19 Sun,77,Chk & Sv,Unsecured,"1,200.00",M,w,Owns Home,201,5,0,633,4,,,0,100,14,1,,91.3,8.7,New,1.007,0
AL120264010-04346,Paid as agreed,7,2006-07-11 Tue,28,Chk & Sv,National,"2,100.00",M,y,Owns Home,205,6,1,658,8,,61,0,95,92,7,44,84.3,15.7,New,28.341,1
AL120264099-08923,Delq 3+ cycles,4,2007-05-02 Wed,,Checking,National,"3,683.00",LT,w,Renting,164,0,6,548,3,2,0,0,0,122,10,95,92.1,7.9,Used,26.621,0
AL120264128-06706,Delq 3+ cycles,4,2006-10-03 Tue,27,Checking,Unsecured,"1,200.00",M,f,Parents,195,0,1,617,18,,28,0,86,54,4,101,89.3,10.7,New,1.18,0
AL120264199-08948,Delq 3+ cycles,4,2006-07-20 Thu,51,Chk & Sv,Home Equity,"3,283.00",SI,s,Owns Home,198,0,0,643,5,,,0,100,74,6,77,89.2,10.8,Used,0.785,0
AL120264475-05046,Paid as agreed,7,2006-07-26 Wed,24,None,National,"1,200.00",DI,w,Parents,172,24,1,550,1,,1,4,75,37,3,97,83,17,New,37.136,1
AL120264483-06303,Paid as agreed,7,2006-08-14 Mon,34,Chk & Sv,Unsecured,"2,496.00",DI,s,Owns Home,177,4,3,559,10,60,11,0,65,80,6,98,84.7,15.3,Used,22.86,1
AL120264650-04371,Paid as agreed,7,2007-03-15 Thu,51,Chk & Sv,Home Equity,"2,150.00",WD,y,Owns Home,241,3,0,786,1,2,,0,100,112,9,0,90.9,9.1,New,28.341,1
AL120264924-05597,Paid as agreed,7,2006-12-21 Thu,32,Chk & Sv,Retail,"2,400.00",M,p,Owns Home,207,7,0,661,7,,58,0,95,134,11,87,88.4,11.6,New,48.762,1
AL120265089-06087,Paid as agreed,7,2007-05-06 Sun,23,Chk & Sv,Home Equity,"2,000.00",SI,g,Owns Home,213,1,0,715,5,18,,0,100,130,10,57,95.3,4.7,Used,28.341,1
AL120265129-05401,Paid as agreed,7,2007-04-11 Wed,41,Checking,Unknown,"1,600.00",M,g,Renting,176,4,2,550,1,13,4,0,0,92,7,,89.3,10.7,New,44.304,1
AL120265169-04601,Paid as agreed,7,2006-11-10 Fri,31,Chk & Sv,Unsecured,"1,700.00",M,w,Owns Home,169,4,2,542,2,2,2,0,22,49,4,62,92,8,New,42.282,1
AL120265190-07592,Delq 3+ cycles,4,2007-02-14 Wed,27,None,Home Equity,"2,000.00",M,g,Parents,209,4,2,685,4,1,55,0,83,95,7,22,87.8,12.2,New,4.654,0
AL120265199-08167,Charged-off,3,2007-01-13 Sat,24,Chk & Sv,Unsecured,"1,200.00",SI,b,Renting,190,0,0,587,9,,15,1,75,23,1,,91.9,8.1,Used,1.007,0
AL120265348-06360,Paid as agreed,7,2006-11-11 Sat,25,Chk & Sv,Home Equity,"2,300.00",M,y,Renting,201,0,1,636,7,,28,0,93,60,5,60,97.1,2.9,Used,49.664,1
AL120265550-04502,Paid as agreed,7,2006-08-13 Sun,23,Chk & Sv,Unsecured,"1,227.00",M,y,Parents,195,23,0,655,2,,,0,100,21,1,96,82.9,17.1,New,28.341,1
AL120265575-06291,Paid as agreed,7,2006-08-19 Sat,30,None,Unknown,"2,000.00",M,f,Owns Home,183,2,0,629,7,4,,1,100,70,5,100,70.6,29.4,Used,28.341,1
AL120265600-07368,Charged-off,3,2007-02-27 Tue,20,Checking,Unsecured,"1,530.00",DI,k,Parents,170,20,0,532,3,2,1,0,67,183,15,100,80.9,19.1,New,1.007,0
AL120265626-04563,Paid as agreed,7,2006-09-05 Tue,51,Chk & Sv,National,"4,600.00",M,e,Owns Home,212,3,0,714,2,2,,0,100,255,21,73,72.3,27.7,New,28.341,1
AL120265691-08568,Delq 3+ cycles,4,2007-06-20 Wed,41,Checking,Home Equity,"1,600.00",SI,u,Owns Home,195,1,1,613,4,27,28,0,50,186,15,,83.5,16.5,Used,5.096,0
AL120265764-04624,Paid as agreed,7,2007-02-11 Sun,30,Checking,National,"1,220.00",M,w,Renting,213,2,1,673,5,5,55,0,91,81,6,16,85.5,14.5,New,28.341,1
AL120265812-05951,Paid as agreed,7,2006-08-08 Tue,26,Chk & Sv,National,"1,583.00",DI,b,Renting,222,1,0,728,2,5,,0,92,54,4,19,89.3,10.7,Used,28.341,1
AL120265868-08601,Delq 3+ cycles,4,2006-12-23 Sat,27,Savings,National,"3,250.00",SI,g,Owns Home,208,25,0,700,7,14,33,0,75,60,5,0,79.6,20.4,Used,1.007,0
